;BGT;BOTR;ERYN;GLAR;MARS;OIDI;PHSC;PHSU;PSDE;PSVE;RAGR;RCOM;RSEC;SCBO;SCSC;BGH
BGT;1;0.547812359;0.925842235;0.581090569;0.649590705;0.551306709;0.47762045;0.461899936;0.690721649;0.607508532;0.434241245;0.470450281;0.438840732;0.585463842;0.578218519;0.964943343
BOTR;0.883594034;1;0.936113394;0.827521648;0.858991286;0.780857563;0.713294688;0.693725237;0.852766081;0.804196688;0.608387376;0.657410882;0.611942912;0.939615291;0.939913156;0.885446176
ERYN;0.819752637;0.513870095;1;0.542944067;0.606944811;0.512953954;0.445215243;0.432138579;0.641934079;0.563771963;0.405447471;0.439399625;0.40994659;0.550888727;0.541720455;0.815686969
GLAR;0.903237541;0.797474064;0.953163517;1;0.890150515;0.815024324;0.752542051;0.73804478;0.880789894;0.838452787;0.643320363;0.695121951;0.647316347;0.83248113;0.821499824;0.904390935
MARS;0.894870862;0.733649075;0.94433032;0.788907091;1;0.729154882;0.678418702;0.658988298;0.842311602;0.773479965;0.623000432;0.673921201;0.628053586;0.773070368;0.764816336;0.897485836
OIDI;0.886322299;0.778304014;0.931388661;0.84296747;0.850937417;1;0.749501093;0.746245278;0.886597938;0.870180761;0.619801124;0.666135084;0.621749409;0.804967129;0.796502758;0.888810198
PHSC;0.9141506;0.846414073;0.96240756;0.926632343;0.942566675;0.892295509;1;0.913848705;0.906780892;0.885223107;0.69355815;0.747091932;0.696611505;0.869734599;0.859875601;0.918378187
PHSU;0.911786104;0.849007668;0.963434675;0.937280599;0.944283074;0.916280122;0.94250689;1;0.911282126;0.898242953;0.702291396;0.755534709;0.703616146;0.870708546;0.859992959;0.91483711
PSDE;0.865223718;0.662268832;0.908175842;0.709805757;0.765909691;0.690802127;0.593461941;0.578273288;1;0.841612944;0.533506269;0.576360225;0.5369057;0.70404188;0.695340922;0.867032578
PSVE;0.874136049;0.717410916;0.916187346;0.776152586;0.807895432;0.778821134;0.665494631;0.654749839;0.966748947;1;0.574319066;0.619699812;0.577707731;0.750304358;0.739701913;0.876416431
RAGR;0.913423063;0.793414524;0.963229252;0.870582729;0.951280697;0.810951465;0.762235104;0.748364508;0.895890809;0.839590444;1;0.984052533;0.985640487;0.828098369;0.821617181;0.916961756
RCOM;0.912149873;0.790257104;0.962202136;0.867072315;0.948508054;0.803371422;0.756818398;0.742098959;0.89211558;0.835039818;0.907047125;1;0.911741529;0.825663501;0.818331182;0.915368272
RSEC;0.91160422;0.788114569;0.96179129;0.86508308;0.947055717;0.803371422;0.756058158;0.740440431;0.890373167;0.834028568;0.97336792;0.976829268;1;0.823472121;0.816336111;0.914483003
SCBO;0.874681702;0.870320253;0.929539852;0.800140417;0.838394508;0.748048422;0.678893852;0.658988298;0.839697982;0.77904184;0.588153913;0.636210131;0.592242361;1;0.893674451;0.875708215
SCSC;0.896144052;0.903134867;0.948233361;0.819096653;0.860443623;0.767847042;0.69628433;0.675205012;0.860316538;0.796738718;0.605361003;0.65412758;0.609053498;0.927075724;1;0.898194051
BGH;0.991269553;0.563937754;0.946384552;0.597706529;0.669263269;0.567937549;0.49292027;0.47608956;0.711049804;0.625711035;0.447816688;0.484990619;0.452237107;0.602142683;0.595352658;1