Species;SINEs;LINES;LTR;DNA transposons;Unclassified;Simple repeats;Non-repetitive
Amorphotheca resinae;0.00;0.00;0.00;0.00;0.00;0.01;0.98
Ascocoryne sarcoides;0.00;0.00;0.00;0.00;0.00;0.01;0.99
Blumeria graminis hordei DH14;0.00;0.30;0.33;0.01;0.11;0.00;0.26
Botrytis cinirea B05;0.00;0.00;0.02;0.01;0.00;0.02;0.95
Botrytis paeoniae;0.00;0.01;0.03;0.01;0.00;0.02;0.94
Cadophora malorum;0.00;0.00;0.00;0.00;0.00;0.01;0.99
Calycina herbarum;0.00;0.00;0.04;0.03;0.00;0.01;0.93
Ciborinia camelliae;0.00;0.00;0.00;0.00;0.00;0.03;0.97
Glarea lozoyensis;0.00;0.00;0.00;0.00;0.00;0.00;0.99
Hymenoscyphus fraxineus;0.00;0.00;0.00;0.00;0.00;0.00;1.00
Hymenoscyphus fructigenus;0.00;0.00;0.03;0.02;0.00;0.00;0.95
Hymenoscyphus infarciens;0.00;0.00;0.01;0.00;0.00;0.00;0.99
Hymenoscyphus laetus;0.00;0.00;0.01;0.01;0.00;0.00;0.98
Hymenoscyphus repandus;0.00;0.00;0.01;0.00;0.00;0.00;0.99
Hymenoscyphus salicellus;0.00;0.00;0.01;0.00;0.00;0.00;0.98
Hymenoscyphus scutula;0.00;0.00;0.03;0.02;0.00;0.00;0.94
Marssonina brunnea;0.00;0.00;0.03;0.00;0.00;0.03;0.94
Oidiodendron maius;0.00;0.00;0.01;0.00;0.00;0.00;0.99
Phialocephala scopiformis;0.00;0.00;0.00;0.00;0.00;0.01;0.99
Phialocephala subalpina;0.00;0.00;0.01;0.00;0.00;0.00;0.99
Pseudogymnoascus destructans;0.00;0.00;0.04;0.02;0.00;0.00;0.93
Pseudogymnoascus pannorum;0.00;0.00;0.00;0.01;0.00;0.00;0.99
Pseudogymnoascus verrucosus;0.00;0.00;0.01;0.00;0.00;0.00;0.99
Rhynchosporium agropyri;0.00;0.00;0.04;0.00;0.00;0.00;0.96
Rhynchosporium commune;0.00;0.00;0.06;0.00;0.00;0.00;0.94
Rhynchosporium secalis;0.00;0.00;0.03;0.00;0.00;0.00;0.97
Rutstroemia sydowiana;0.00;0.00;0.00;0.00;0.00;0.02;0.98
Sclerotinia borealis;0.00;0.00;0.00;0.01;0.00;0.03;0.96
Sclerotinia echinophila;0.00;0.00;0.00;0.00;0.00;0.00;1.00
Sclerotinia homoeocarpa;0.00;0.00;0.00;0.00;0.00;0.00;0.99
Sclerotinia sclerotiorum;0.00;0.01;0.01;0.01;0.00;0.00;0.97
Erysiphe necator;0.0004693071754974;0.127851113465128;0.0947778611115497;0.00160546440317168;0.0228062603569786;0.00956311693938357;0.741590471942541
Blumeria graminis tritici 96224;0.000548108;0.115349024;0.130385102;0.005452751;0.070890085;0.000796861;0.372743443986281